envChgStep	dispStep	stepID	univDispersal	NoDispersal	occupied	absent	stepColonized	stepDecolonized	stepLDDsuccess
0	0	1	17	17	17	13064	0	0	0
1	1	101	1262	16	82	12999	66	1	0
1	2	102	1262	16	119	12962	37	0	0
1	3	103	1262	16	162	12919	43	0	0
1	4	104	1262	16	335	12746	173	0	0
1	5	105	1262	16	452	12629	117	0	0
1	6	106	1262	16	528	12553	76	0	0
1	7	107	1262	16	697	12384	169	0	0
1	8	108	1262	16	784	12297	87	0	0
1	9	109	1262	16	874	12207	90	0	0
1	10	110	1262	16	945	12136	71	0	0
