envChgStep	dispStep	stepID	univDispersal	NoDispersal	occupied	absent	stepColonized	stepDecolonized	stepLDDsuccess
0	0	1	67	67	67	13014	0	0	0
1	1	101	646	67	227	12854	160	0	0
1	2	102	646	67	266	12815	39	0	0
1	3	103	646	67	289	12792	23	0	0
1	4	104	646	67	301	12780	12	0	0
1	5	105	646	67	366	12715	65	0	0
1	6	106	646	67	398	12683	32	0	0
1	7	107	646	67	414	12667	16	0	0
1	8	108	646	67	419	12662	5	0	0
1	9	109	646	67	443	12638	24	0	0
1	10	110	646	67	457	12624	14	0	0
