"","key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","coordinateUncertaintyInMeters","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","identifiers","facts","relations","gadm.level0.gid","gadm.level0.name","gadm.level1.gid","gadm.level1.name","gadm.level2.gid","gadm.level2.name","gadm.level3.gid","gadm.level3.name","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","country","rightsHolder","identifier","http...unknown.org.nick","informationWithheld","verbatimEventDate","datasetName","collectionCode","gbifID","verbatimLocality","occurrenceID","taxonID","catalogNumber","recordedBy","http...unknown.org.occurrenceDetails","institutionCode","rights","eventTime","identifiedBy","identificationID","name","projectId","eventID","otherCatalogNumbers","identificationVerificationStatus","occurrenceRemarks","locality","continent","gadm"
"92","164924050","Lynx pardinus (Temminck, 1827)",39.509998,-4.69,"cdround,gass84,cdpi","636308c6-f762-11e1-a439-00145eb45e9a","7338b4d9-d75b-4edb-b238-b09f52397f49","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","ES","DWC_ARCHIVE","2020-08-29T13:25:24.748+0000","2020-09-01T21:27:46.163+0000",84,"none","HUMAN_OBSERVATION","PRESENT",2435261,1,44,359,732,9703,2435239,2435261,2435261,"Lynx pardinus (Temminck, 1827)","Animalia","Chordata","Carnivora","Felidae","Lynx","Lynx pardinus","Lynx","pardinus","SPECIES","ACCEPTED",NA,NA,NA,2007,NA,NA,"2007-01-01T00:00:00",NA,"2020-09-01T21:27:46.163+0000",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","ESP","Spain","ESP.4_1","Castilla-La Mancha","ESP.4.5_1","Toledo","ESP.4.5.7_1","n.a. (260)","WGS84","Mammalia","ES","none","none","Spain",NA,NA,NA,NA,NA,NA,"ARM-INB-2007-Mamiferos","164924050",NA,"164924050",NA,"33337",NA,NA,"ARM",NA,NA,NA,NA,"Lynx pardinus (Temminck, 1827)",NA,NA,NA,NA,NA,NA,"EUROPE",NA
"93","164924051","Lynx pardinus (Temminck, 1827)",40.32,-4.71,"cdround,gass84,cdpi","636308c6-f762-11e1-a439-00145eb45e9a","7338b4d9-d75b-4edb-b238-b09f52397f49","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","ES","DWC_ARCHIVE","2020-08-29T13:25:24.748+0000","2020-09-01T21:27:47.499+0000",84,"none","HUMAN_OBSERVATION","PRESENT",2435261,1,44,359,732,9703,2435239,2435261,2435261,"Lynx pardinus (Temminck, 1827)","Animalia","Chordata","Carnivora","Felidae","Lynx","Lynx pardinus","Lynx","pardinus","SPECIES","ACCEPTED",NA,NA,NA,2007,NA,NA,"2007-01-01T00:00:00",NA,"2020-09-01T21:27:47.499+0000",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","ESP","Spain","ESP.5_1","Castilla y León","ESP.5.1_1","Ávila","ESP.5.1.6_1","n.a. (28)","WGS84","Mammalia","ES","none","none","Spain",NA,NA,NA,NA,NA,NA,"ARM-INB-2007-Mamiferos","164924051",NA,"164924051",NA,"33338",NA,NA,"ARM",NA,NA,NA,NA,"Lynx pardinus (Temminck, 1827)",NA,NA,NA,NA,NA,NA,"EUROPE",NA
"94","164924052","Lynx pardinus (Temminck, 1827)",38.610001,-4.78,"cdround,gass84,cdpi","636308c6-f762-11e1-a439-00145eb45e9a","7338b4d9-d75b-4edb-b238-b09f52397f49","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","ES","DWC_ARCHIVE","2020-08-29T13:25:24.748+0000","2020-09-01T21:27:46.169+0000",84,"none","HUMAN_OBSERVATION","PRESENT",2435261,1,44,359,732,9703,2435239,2435261,2435261,"Lynx pardinus (Temminck, 1827)","Animalia","Chordata","Carnivora","Felidae","Lynx","Lynx pardinus","Lynx","pardinus","SPECIES","ACCEPTED",NA,NA,NA,2007,NA,NA,"2007-01-01T00:00:00",NA,"2020-09-01T21:27:46.169+0000",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","ESP","Spain","ESP.4_1","Castilla-La Mancha","ESP.4.2_1","Ciudad Real","ESP.4.2.7_1","n.a. (85)","WGS84","Mammalia","ES","none","none","Spain",NA,NA,NA,NA,NA,NA,"ARM-INB-2007-Mamiferos","164924052",NA,"164924052",NA,"33339",NA,NA,"ARM",NA,NA,NA,NA,"Lynx pardinus (Temminck, 1827)",NA,NA,NA,NA,NA,NA,"EUROPE",NA
"95","164924053","Lynx pardinus (Temminck, 1827)",38.880001,-4.79,"cdround,gass84,cdpi","636308c6-f762-11e1-a439-00145eb45e9a","7338b4d9-d75b-4edb-b238-b09f52397f49","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","ES","DWC_ARCHIVE","2020-08-29T13:25:24.748+0000","2020-09-01T21:27:47.473+0000",84,"none","HUMAN_OBSERVATION","PRESENT",2435261,1,44,359,732,9703,2435239,2435261,2435261,"Lynx pardinus (Temminck, 1827)","Animalia","Chordata","Carnivora","Felidae","Lynx","Lynx pardinus","Lynx","pardinus","SPECIES","ACCEPTED",NA,NA,NA,2007,NA,NA,"2007-01-01T00:00:00",NA,"2020-09-01T21:27:47.473+0000",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","ESP","Spain","ESP.4_1","Castilla-La Mancha","ESP.4.2_1","Ciudad Real","ESP.4.2.5_1","n.a. (83)","WGS84","Mammalia","ES","none","none","Spain",NA,NA,NA,NA,NA,NA,"ARM-INB-2007-Mamiferos","164924053",NA,"164924053",NA,"33340",NA,NA,"ARM",NA,NA,NA,NA,"Lynx pardinus (Temminck, 1827)",NA,NA,NA,NA,NA,NA,"EUROPE",NA
"96","164924054","Lynx pardinus (Temminck, 1827)",38.970001,-4.79,"cdround,gass84,cdpi","636308c6-f762-11e1-a439-00145eb45e9a","7338b4d9-d75b-4edb-b238-b09f52397f49","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","ES","DWC_ARCHIVE","2020-08-29T13:25:24.748+0000","2020-09-01T21:27:47.481+0000",84,"none","HUMAN_OBSERVATION","PRESENT",2435261,1,44,359,732,9703,2435239,2435261,2435261,"Lynx pardinus (Temminck, 1827)","Animalia","Chordata","Carnivora","Felidae","Lynx","Lynx pardinus","Lynx","pardinus","SPECIES","ACCEPTED",NA,NA,NA,2007,NA,NA,"2007-01-01T00:00:00",NA,"2020-09-01T21:27:47.481+0000",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","ESP","Spain","ESP.4_1","Castilla-La Mancha","ESP.4.2_1","Ciudad Real","ESP.4.2.5_1","n.a. (83)","WGS84","Mammalia","ES","none","none","Spain",NA,NA,NA,NA,NA,NA,"ARM-INB-2007-Mamiferos","164924054",NA,"164924054",NA,"33341",NA,NA,"ARM",NA,NA,NA,NA,"Lynx pardinus (Temminck, 1827)",NA,NA,NA,NA,NA,NA,"EUROPE",NA
"97","164924055","Lynx pardinus (Temminck, 1827)",39.150002,-4.79,"cdround,gass84,cdpi","636308c6-f762-11e1-a439-00145eb45e9a","7338b4d9-d75b-4edb-b238-b09f52397f49","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","ES","DWC_ARCHIVE","2020-08-29T13:25:24.748+0000","2020-09-01T21:27:47.484+0000",84,"none","HUMAN_OBSERVATION","PRESENT",2435261,1,44,359,732,9703,2435239,2435261,2435261,"Lynx pardinus (Temminck, 1827)","Animalia","Chordata","Carnivora","Felidae","Lynx","Lynx pardinus","Lynx","pardinus","SPECIES","ACCEPTED",NA,NA,NA,2007,NA,NA,"2007-01-01T00:00:00",NA,"2020-09-01T21:27:47.484+0000",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","ESP","Spain","ESP.4_1","Castilla-La Mancha","ESP.4.2_1","Ciudad Real","ESP.4.2.4_1","n.a. (82)","WGS84","Mammalia","ES","none","none","Spain",NA,NA,NA,NA,NA,NA,"ARM-INB-2007-Mamiferos","164924055",NA,"164924055",NA,"33342",NA,NA,"ARM",NA,NA,NA,NA,"Lynx pardinus (Temminck, 1827)",NA,NA,NA,NA,NA,NA,"EUROPE",NA
"98","164924056","Lynx pardinus (Temminck, 1827)",39.330002,-4.8,"cdround,gass84,cdpi","636308c6-f762-11e1-a439-00145eb45e9a","7338b4d9-d75b-4edb-b238-b09f52397f49","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","ES","DWC_ARCHIVE","2020-08-29T13:25:24.748+0000","2020-09-01T21:27:47.599+0000",84,"none","HUMAN_OBSERVATION","PRESENT",2435261,1,44,359,732,9703,2435239,2435261,2435261,"Lynx pardinus (Temminck, 1827)","Animalia","Chordata","Carnivora","Felidae","Lynx","Lynx pardinus","Lynx","pardinus","SPECIES","ACCEPTED",NA,NA,NA,2007,NA,NA,"2007-01-01T00:00:00",NA,"2020-09-01T21:27:47.599+0000",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","ESP","Spain","ESP.11_1","Extremadura","ESP.11.1_1","Badajoz","ESP.11.1.4_1","n.a. (42)","WGS84","Mammalia","ES","none","none","Spain",NA,NA,NA,NA,NA,NA,"ARM-INB-2007-Mamiferos","164924056",NA,"164924056",NA,"33343",NA,NA,"ARM",NA,NA,NA,NA,"Lynx pardinus (Temminck, 1827)",NA,NA,NA,NA,NA,NA,"EUROPE",NA
"99","164924057","Lynx pardinus (Temminck, 1827)",39.599998,-4.81,"cdround,gass84,cdpi","636308c6-f762-11e1-a439-00145eb45e9a","7338b4d9-d75b-4edb-b238-b09f52397f49","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","ES","DWC_ARCHIVE","2020-08-29T13:25:24.748+0000","2020-09-01T21:27:47.558+0000",84,"none","HUMAN_OBSERVATION","PRESENT",2435261,1,44,359,732,9703,2435239,2435261,2435261,"Lynx pardinus (Temminck, 1827)","Animalia","Chordata","Carnivora","Felidae","Lynx","Lynx pardinus","Lynx","pardinus","SPECIES","ACCEPTED",NA,NA,NA,2007,NA,NA,"2007-01-01T00:00:00",NA,"2020-09-01T21:27:47.558+0000",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","ESP","Spain","ESP.4_1","Castilla-La Mancha","ESP.4.5_1","Toledo","ESP.4.5.7_1","n.a. (260)","WGS84","Mammalia","ES","none","none","Spain",NA,NA,NA,NA,NA,NA,"ARM-INB-2007-Mamiferos","164924057",NA,"164924057",NA,"33344",NA,NA,"ARM",NA,NA,NA,NA,"Lynx pardinus (Temminck, 1827)",NA,NA,NA,NA,NA,NA,"EUROPE",NA
"100","164924058","Lynx pardinus (Temminck, 1827)",38.610001,-4.9,"cdround,gass84,cdpi","636308c6-f762-11e1-a439-00145eb45e9a","7338b4d9-d75b-4edb-b238-b09f52397f49","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","ES","DWC_ARCHIVE","2020-08-29T13:25:24.748+0000","2020-09-01T21:27:48.813+0000",84,"none","HUMAN_OBSERVATION","PRESENT",2435261,1,44,359,732,9703,2435239,2435261,2435261,"Lynx pardinus (Temminck, 1827)","Animalia","Chordata","Carnivora","Felidae","Lynx","Lynx pardinus","Lynx","pardinus","SPECIES","ACCEPTED",NA,NA,NA,2007,NA,NA,"2007-01-01T00:00:00",NA,"2020-09-01T21:27:48.813+0000",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","ESP","Spain","ESP.1_1","Andalucía","ESP.1.3_1","Córdoba","ESP.1.3.2_1","n.a. (86)","WGS84","Mammalia","ES","none","none","Spain",NA,NA,NA,NA,NA,NA,"ARM-INB-2007-Mamiferos","164924058",NA,"164924058",NA,"33345",NA,NA,"ARM",NA,NA,NA,NA,"Lynx pardinus (Temminck, 1827)",NA,NA,NA,NA,NA,NA,"EUROPE",NA
"101","164924059","Lynx pardinus (Temminck, 1827)",38.790001,-4.9,"cdround,gass84,cdpi","636308c6-f762-11e1-a439-00145eb45e9a","7338b4d9-d75b-4edb-b238-b09f52397f49","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","ES","DWC_ARCHIVE","2020-08-29T13:25:24.748+0000","2020-09-01T21:27:48.821+0000",84,"none","HUMAN_OBSERVATION","PRESENT",2435261,1,44,359,732,9703,2435239,2435261,2435261,"Lynx pardinus (Temminck, 1827)","Animalia","Chordata","Carnivora","Felidae","Lynx","Lynx pardinus","Lynx","pardinus","SPECIES","ACCEPTED",NA,NA,NA,2007,NA,NA,"2007-01-01T00:00:00",NA,"2020-09-01T21:27:48.821+0000",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","ESP","Spain","ESP.4_1","Castilla-La Mancha","ESP.4.2_1","Ciudad Real","ESP.4.2.5_1","n.a. (83)","WGS84","Mammalia","ES","none","none","Spain",NA,NA,NA,NA,NA,NA,"ARM-INB-2007-Mamiferos","164924059",NA,"164924059",NA,"33346",NA,NA,"ARM",NA,NA,NA,NA,"Lynx pardinus (Temminck, 1827)",NA,NA,NA,NA,NA,NA,"EUROPE",NA
