envChgStep	dispStep	stepID	univDispersal	NoDispersal	occupied	absent	stepColonized	stepDecolonized	stepLDDsuccess
0	0	1	84	84	84	12997	0	0	0
1	1	101	891	84	362	12719	278	0	0
1	2	102	891	84	437	12644	75	0	0
1	3	103	891	84	473	12608	36	0	0
1	4	104	891	84	497	12584	24	0	0
1	5	105	891	84	637	12444	140	0	0
1	6	106	891	84	685	12396	48	0	0
1	7	107	891	84	716	12365	31	0	0
1	8	108	891	84	735	12346	19	0	0
1	9	109	891	84	778	12303	43	0	0
1	10	110	891	84	809	12272	31	0	0
