envChgStep	dispStep	stepID	univDispersal	NoDispersal	occupied	absent	stepColonized	stepDecolonized	stepLDDsuccess
0	0	1	32	32	32	13049	0	0	0
1	1	101	1634	30	167	12914	137	2	0
1	2	102	1634	30	246	12835	79	0	0
1	3	103	1634	30	301	12780	55	0	0
1	4	104	1634	30	678	12403	377	0	0
1	5	105	1634	30	844	12237	166	0	0
1	6	106	1634	30	986	12095	142	0	0
1	7	107	1634	30	1211	11870	225	0	0
1	8	108	1634	30	1331	11750	120	0	0
1	9	109	1634	30	1412	11669	81	0	0
1	10	110	1634	30	1497	11584	85	0	0
