envChgStep	dispStep	stepID	univDispersal	NoDispersal	occupied	absent	stepColonized	stepDecolonized	stepLDDsuccess
0	0	1	84	84	84	12997	0	0	0
1	1	101	891	84	365	12716	281	0	0
1	2	102	891	84	439	12642	74	0	0
1	3	103	891	84	478	12603	39	0	0
1	4	104	891	84	500	12581	22	0	0
1	5	105	891	84	640	12441	140	0	0
1	6	106	891	84	692	12389	52	0	0
1	7	107	891	84	716	12365	24	0	0
1	8	108	891	84	728	12353	12	0	0
1	9	109	891	84	773	12308	45	0	0
1	10	110	891	84	798	12283	25	0	0
